phrase, correct, wrong1, wrong2, wrong3
Hello!, Привет!, Пока!, Спасибо!, Как дела?
Good morning!, Доброе утро!, Добрый вечер!, Спокойной ночи!, Хорошего дня!
How are you?, Как дела?, Как тебя зовут?, Где ты живешь?, Что нового?
"I'm fine,thank you."," У меня все хорошо,спасибо.",Мне грустно., Я голоден., Я устал.
What is your name?, Как тебя зовут?, Сколько тебе лет?, Откуда ты?, Как дела?
Where are you from?, Откуда ты?, Куда ты идешь?, Где ты живешь?, Кто ты?
I am from Russia., Я из России., Я из Америки., Я из Китая., Я из Германии.
How old are you?, Сколько тебе лет?, Как тебя зовут?, Где ты работаешь?, Что ты делаешь?
I am 25 years old., Мне 25 лет., Мне 30 лет., Мне 20 лет., Мне 35 лет.
Nice to meet you!, Приятно познакомиться!, До свидания!, Удачи!, Береги себя!
Goodbye!, До свидания!, Привет!, Доброе утро!, Как дела?
See you later!, Увидимся позже!, Увидимся завтра!, Пока!, До свидания!
What do you do?, Кем ты работаешь?, Что ты делаешь?, Где ты работаешь?, Чем увлекаешься?
I am a student., Я студент., Я учитель., Я врач., Я инженер.
I work in an office., Я работаю в офисе., Я работаю дома., Я работаю в школе., Я работаю в больнице.
Where do you live?, Где ты живешь?, Где ты работаешь?, Куда ты идешь?, Откуда ты?
I live in Moscow., Я живу в Москве., Я живу в Лондоне., Я живу в Париже., Я живу в Токио.
What time is it?, Который час?, Какой сегодня день?, Какое число?, Какое время года?
It is 3 o'clock., Сейчас 3 часа., Сейчас 5 часов., Сейчас 10 часов., Сейчас 7 часов.
How much is this?, Сколько это стоит?, Где это?, Что это?, Когда это?
It is 100 rubles., Это 100 рублей., Это 50 рублей., Это 200 рублей., Это 500 рублей.
Can you help me?, Ты можешь мне помочь?, Ты можешь подождать?, Ты понимаешь?, Ты согласен?
I need help., Мне нужна помощь., Мне нужно уйти., Мне скучно., Мне весело.
Where is the bank?, Где банк?, Где аптека?, Где магазин?, Где парк?
It is next to the park., Он рядом с парком., Он рядом с магазином., Он рядом с аптекой., Он рядом с станцией.
I don't understand., Я не понимаю., Я понимаю., Я согласен., Я не согласен.
Can you repeat that?, Ты можешь повторить?, Ты можешь помочь?, Ты можешь подождать?, Ты можешь говорить медленнее?
"Speak slowly,please."," Говори медленнее, пожалуйста."," Говори громче, пожалуйста.","Повтори, пожалуйста."," Подожди, пожалуйста."
What does this word mean?, Что значит это слово?, Как сказать это слово?, Как пишется это слово?, Где используется это слово?
I am hungry., Я хочу есть., Я хочу пить., Я устал., Мне холодно.
I am thirsty., Я хочу пить., Я хочу есть., Мне жарко., Мне скучно.
I am tired., Я устал., Я голоден., Я занят., Я свободен.
I am happy., Я счастлив., Я грустен., Я зол., Я удивлен.
I am sad., Мне грустно., Мне весело., Мне страшно., Мне скучно.
What is the weather like?, Какая погода?, Какое сегодня число?, Какой сегодня день?, Который час?
It is sunny., Солнечно., Дождливо., Облачно., Ветрено.
It is raining., Идет дождь., Идет снег., Солнечно., Тепло.
It is cold., Холодно., Жарко., Тепло., Прохладно.
I like coffee., Мне нравится кофе., Мне нравится чай., Мне нравится сок., Мне нравится вода.
I don't like tea., Мне не нравится чай., Мне не нравится кофе., Мне не нравится молоко., Мне не нравится сок.
What is your favorite food?, Какая твоя любимая еда?, Какая твоя любимая музыка?, Какой твой любимый фильм?, Какое твое любимое хобби?
My favorite food is pizza., Моя любимая еда - пицца., Моя любимая еда - суши., Моя любимая еда - паста., Моя любимая еда - салат.
"Can I have water,please?"," Можно мне воды,пожалуйста?"," Можно мне кофе,пожалуйста?"," Можно мне чай, пожалуйста?"," Можно мне сок, пожалуйста?"
"The check, please.", Счет пожалуйста., Меню пожалуйста., Воду пожалуйста., Помощь пожалуйста.
Where is the restroom?, Где туалет?, Где выход?, Где лифт?, Где лестница?
I am lost., Я заблудился., Я опоздал., Я спешу., Я устал.
Can you call a taxi?, Вы можете вызвать такси?, Вы можете помочь?, Вы можете подождать?, Вы можете показать дорогу?
I need a doctor., Мне нужен врач., Мне нужна помощь., Мне нужно такси., Мне нужно лекарство.
Call an ambulance!, Вызовите скорую!, Вызовите полицию!, Вызовите пожарных!, Позвоните врачу!
What is the problem?, В чем проблема?, Какое решение?, Кто виноват?, Что случилось?
I have a headache., У меня болит голова., У меня болит живот., У меня болит горло., У меня температура.
My stomach hurts., У меня болит живот., У меня болит голова., У меня болит спина., У меня кашель.
I feel sick., Мне плохо., Мне хорошо., Мне весело., Мне грустно.
Do you speak English?, Вы говорите по-английски?, Вы говорите по-русски?, Вы понимаете?, Вы знаете?
I speak a little English., Я немного говорю по-английски., Я свободно говорю по-английски., Я не говорю по-английски., Я понимаю по-английски.
What is this?, Что это?, Кто это?, Где это?, Чей это?
This is a book., Это книга., Это ручка., Это стол., Это стул.
That is a pen., Это ручка., Это книга., Это бумага., Это карандаш.
Who is he?, Кто он?, Где он?, Что он делает?, Как его зовут?
He is my friend., Он мой друг., Он мой брат., Он мой отец., Он мой учитель.
She is my sister., Она моя сестра., Она моя подруга., Она моя мама., Она моя коллега.
This is my family., Это моя семья., Это мои друзья., Это мои коллеги., Это мои соседи.
These are my children., Это мои дети., Это мои родители., Это мои братья., Это мои сестры.
I have a brother., У меня есть брат., У меня есть сестра., У меня есть друг., У меня есть собака.
I don't have siblings., У меня нет братьев и сестер., У меня нет детей., У меня нет друзей., У меня нет домашних животных.
What is your phone number?, Какой у тебя номер телефона?, Какой у тебя адрес?, Сколько тебе лет?, Где ты живешь?
My number is 1234567., Мой номер 1234567., Мой номер 7654321., Мой номер 5555555., Мой номер 9999999.
What is your email?, Какой у тебя email?, Какой у тебя номер?, Какой у тебя адрес?, Какой у тебя логин?
My email is name@mail.com., Мой email name@mail.com., Мой email test@test.com., Мой email user@mail.com., Мой email hello@world.com.
I have a question., У меня есть вопрос., У меня есть проблема., У меня есть идея., У меня есть предложение.
Can you explain this?, Ты можешь это объяснить?, Ты можешь это сделать?, Ты можешь это показать?, Ты можешь это принести?
I agree., Я согласен., Я не согласен., Я не уверен., Я сомневаюсь.
I disagree., Я не согласен., Я согласен., Я понимаю., Я не понимаю.
I think so., Я так думаю., Я не думаю так., Я уверен., Я не уверен.
I don't think so., Я так не думаю., Я думаю так., Я согласен., Я не согласен.
Maybe., Возможно., Конечно., Точно нет., Абсолютно точно.
Probably., Вероятно., Возможно., Точно., Ни за что.
Certainly., Конечно., Возможно., Вероятно., Ни в коем случае.
Of course., Конечно., Ни за что., Возможно., Вероятно.
Never., Никогда., Всегда., Иногда., Часто.
Always., Всегда., Никогда., Редко., Иногда.
Sometimes., Иногда., Всегда., Никогда., Часто.
Usually., Обычно., Всегда., Никогда., Иногда.
Often., Часто., Редко., Никогда., Иногда.
Rarely., Редко., Часто., Всегда., Иногда.
What is today's date?, Какое сегодня число?, Какой сегодня день?, Который час?, Какое время года?
Today is Monday., Сегодня понедельник., Сегодня вторник., Сегодня среда., Сегодня четверг.
Yesterday was Sunday., Вчера было воскресенье., Вчера была суббота., Вчера был понедельник., Вчера была пятница.
Tomorrow is Tuesday., Завтра вторник., Завтра среда., Завтра четверг., Завтра пятница.
Next week., На следующей неделе., На прошлой неделе., В следующем месяце., В следующем году.
Last month., В прошлом месяце., В следующем месяце., В прошлом году., В следующем году.
Next year., В следующем году., В прошлом году., В следующем месяце., В прошлом месяце.
Happy Birthday!, С Днем рождения!, С Новым годом!, С Рождеством!, С праздником!
Merry Christmas!, С Рождеством!, С Новым годом!, С Днем рождения!, С праздником!
Happy New Year!, С Новым годом!, С Рождеством!, С Днем рождения!, С праздником!
Congratulations!, Поздравляю!, Удачи!, Привет!, Пока!
Good luck!, Удачи!, Поздравляю!, Береги себя!, До свидания!
I love you., Я тебя люблю., Я тебя ненавижу., Я скучаю по тебе., Я ценю тебя.
I miss you., Я скучаю по тебе., Я люблю тебя., Я ненавижу тебя., Я ценю тебя.
Can you give me a pen?, Ты можешь дать мне ручку?, Ты можешь дать мне книгу?, Ты можешь дать мне бумагу?, Ты можешь дать мне карандаш?
I need a phone., Мне нужен телефон., Мне нужен компьютер., Мне нужна книга., Мне нужна помощь.
This is expensive., Это дорого., Это дешево., Это интересно., Это скучно.
That is cheap., Это дешево., Это дорого., Это важно., Это просто.
Can I try it on?, Я могу примерить?, Я могу купить?, Я могу посмотреть?, Я могу потрогать?
It doesn't fit., Не подходит по размеру., Не нравится цвет., Не подходит по стилю., Слишком маленький.
It is too big., Слишком большой., Слишком маленький., Слишком дорогой., Слишком дешевый.
I will take it., Я возьму это., Я подумаю., Я не возьму., Мне не нравится.
I don't want it., Я не хочу это., Я хочу это., Мне нравится., Мне нужно это.
Do you have another one?, У вас есть другой?, У вас есть больше?, У вас есть дешевле?, У вас есть лучше?
Can I pay by card?, Я могу заплатить картой?, Я могу заплатить наличными?, У вас есть сдача?, Вы принимаете кредитки?
Cash or card?, Наличные или карта?, Большой или маленький?, Дешевый или дорогой?, Новый или старый?
I need a receipt., Мне нужен чек., Мне нужна сдача., Мне нужна помощь., Мне нужен пакет.
Where is the exit?, Где выход?, Где вход?, Где туалет?, Где лифт?
Open the door., Откройте дверь., Закройте дверь., Откройте окно., Закройте окно.
Close the window., Закройте окно., Откройте окно., Включите свет., Выключите свет.
Turn on the light., Включите свет., Выключите свет., Включите телевизор., Выключите телевизор.
Turn off the TV., Выключите телевизор., Включите телевизор., Включите свет., Выключите свет.
Be careful!, Будьте осторожны!, Скорее!, Подождите!, Посмотрите!
Wait a minute!, Подождите минуту!, Идите сюда!, Посмотрите!, Слушайте!
Hurry up!, Скорее!, Подождите!, Будьте осторожны!, Успокойтесь.
Stop!, Стойте!, Идите!, Бегите!, Прыгайте!
Go!, Идите!, Стойте!, Бегите!, Прыгайте!
Come here!, Идите сюда!, Идите туда!, Уходите!, Подождите!
Look!, Посмотрите!, Слушайте!, Подождите!, Идите сюда!
Listen!, Слушайте!, Посмотрите!, Говорите!, Подождите!
Can you write it down?, Вы можете это записать?, Вы можете это сказать?, Вы можете это прочитать?, Вы можете это объяснить?
Sign here., Подпишите здесь., Напишите здесь., Прочитайте здесь., Объясните здесь.
I have a reservation., У меня есть бронь., У меня есть вопрос., У меня есть проблема., У меня есть билет.
My name is..., Меня зовут..., Мой номер..., Мой адрес..., Мой email...
